id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2
8863,4,0,20,57,10,21,3,9,8,7
8864,4,0,14,39,6,10,2,6,8,5
8865,4,3,61,136,32,43,5,37,19,22
8866,4,2,28,65,14,26,3,13,8,9
8867,4,2,50,128,20,55,6,17,17,16
8868,4,1,29,71,9,29,4,19,7,18
8869,4,0,36,92,11,39,3,19,12,15
8870,4,2,35,82,15,30,4,14,8,13
8871,4,1,11,32,3,13,2,4,4,4
8872,4,2,33,115,16,37,7,16,15,12
8873,4,2,55,179,24,62,7,26,12,21
8874,4,0,14,42,2,20,1,7,3,5
8875,4,1,13,31,5,14,2,8,3,9
8876,4,2,75,175,31,67,7,31,25,20
8877,4,0,26,71,14,27,2,11,10,12
8878,4,1,14,48,4,16,2,7,9,5
8879,4,2,31,87,16,35,6,18,9,12
8880,4,1,14,34,7,10,2,7,3,4
8881,4,3,72,164,32,53,7,36,11,27
8882,4,1,15,50,8,20,3,9,6,8
8883,4,1,28,81,8,35,2,16,12,12
8884,4,1,18,40,5,14,1,6,5,3
8885,4,3,54,136,25,50,5,29,13,17
8886,4,1,13,46,8,18,2,6,5,6
8887,4,2,27,88,10,28,4,15,11,18
8888,4,2,69,176,34,70,9,38,12,30
8889,4,1,32,115,9,47,5,15,12,15
8890,4,2,43,105,25,38,5,13,10,9
8891,4,3,54,133,23,50,6,30,17,24
8892,4,1,35,79,13,44,3,10,6,10
8893,4,2,12,54,8,23,1,10,6,5
8894,4,1,14,55,8,23,2,14,5,8
8895,4,3,62,175,28,65,9,42,19,24
8896,4,2,44,89,26,30,4,19,15,11
8897,4,1,42,92,12,46,3,19,11,10
8898,4,2,35,140,7,58,5,19,8,15
8899,4,0,15,34,8,11,2,5,3,7
8900,4,2,38,149,18,64,7,28,15,16
8901,4,0,14,36,3,18,2,6,3,4
8902,4,3,59,155,26,55,6,26,25,19
8903,4,3,57,177,22,69,8,30,24,17
8904,4,2,50,109,21,41,4,18,11,11
8905,4,2,50,139,26,54,7,20,18,15
8906,4,2,43,111,19,40,6,17,12,16
8907,4,0,16,40,6,14,1,7,5,7
8908,4,1,35,101,22,38,6,22,9,15
8909,4,2,38,117,13,50,4,19,22,16
8910,4,1,23,68,10,29,2,12,7,8
