id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15
2,1,9,138,419,82,156,13,56,58,35,19
3,1,7,102,279,53,97,10,39,32,27,15
4,1,10,238,524,132,195,20,74,64,43,42
5,1,8,171,465,88,170,24,66,44,54,22
6,1,8,68,246,36,83,11,38,28,23,12
7,1,10,210,499,90,198,20,94,65,43,27
8,1,10,188,482,85,178,24,62,56,39,41
9,1,9,140,442,69,153,19,80,40,57,28
10,1,9,153,502,62,182,21,67,51,54,38
11,1,8,167,324,76,121,14,46,29,28,27
12,1,8,140,392,81,143,20,57,44,45,30
13,1,7,62,204,20,70,6,30,20,19,17
14,1,6,106,307,48,93,14,50,33,20,34
15,1,6,74,176,34,66,8,25,22,10,15
16,1,12,252,528,111,218,27,98,60,42,37
17,1,8,107,335,45,128,16,50,41,28,13
18,1,8,129,367,48,142,12,45,30,26,22
19,1,4,23,66,11,5,4,20,5,8,5
20,1,6,61,156,30,53,6,20,15,9,17
21,1,8,127,367,74,137,18,55,42,28,21
22,1,3,28,56,7,27,2,11,8,7,2
23,1,10,207,521,99,202,21,61,78,44,20
24,1,11,227,559,110,216,21,76,71,42,49
25,1,8,131,293,64,116,16,50,29,28,20
26,1,9,142,360,66,129,10,48,41,21,19
27,1,4,40,120,17,36,6,11,13,7,10
28,1,9,143,360,71,151,16,47,51,20,27
29,1,9,146,372,62,136,15,43,50,26,32
30,1,8,88,257,47,117,13,27,22,10,12
31,1,10,153,472,84,186,21,69,49,32,32
32,1,10,188,492,89,184,22,63,45,30,39
33,1,6,64,167,26,67,6,23,20,14,14
34,1,8,108,362,58,145,17,61,34,42,19
35,1,9,164,413,65,175,16,48,40,36,31
36,1,10,200,542,85,193,17,53,80,36,42
37,1,12,188,488,83,186,24,66,53,39,44
38,1,8,109,352,67,116,16,54,46,33,19
39,1,10,162,445,67,168,13,80,51,39,28
40,1,7,64,190,33,62,8,38,21,20,12
41,1,2,14,41,7,15,2,4,5,4,2
42,1,8,96,282,37,107,12,28,41,21,19
43,1,6,51,140,29,49,7,22,16,13,5
44,1,8,104,313,39,102,14,56,45,29,23
45,1,8,108,322,44,114,16,59,47,25,20
46,1,8,115,298,53,119,10,55,33,16,16
47,1,8,105,314,51,115,13,61,42,30,16
48,1,11,193,544,65,205,20,92,76,52,29
49,1,6,120,315,61,126,17,27,47,18,21
50,1,5,35,83,18,36,3,13,11,6,5
51,1,9,140,571,56,211,12,58,63,45,26
52,1,7,96,241,43,90,12,34,19,21,16
53,1,8,122,424,61,158,24,48,58,38,10
54,1,10,155,415,81,144,19,81,44,40,23
55,1,8,98,237,52,99,9,26,38,12,15
56,1,10,214,469,143,171,19,75,60,48,34
57,1,9,132,291,80,113,13,40,33,28,28
58,1,7,67,197,36,62,9,24,22,11,5
59,1,8,181,442,83,172,17,60,65,42,38
60,1,4,32,68,16,28,3,10,9,4,8
61,1,8,115,301,62,125,15,43,35,18,18
62,1,8,97,283,41,89,14,35,16,25,23
63,1,8,97,290,47,126,13,32,30,25,17
64,1,7,64,217,32,79,6,26,21,17,8
65,1,9,136,414,77,170,20,48,51,36,23
66,1,9,152,371,77,137,19,41,37,22,22
67,1,8,112,293,57,118,10,61,33,18,19
68,1,9,154,390,76,152,19,49,38,34,21
69,1,7,74,241,31,97,12,29,33,15,11
70,1,12,192,422,107,147,19,72,49,40,35
71,1,10,176,443,65,179,17,53,64,40,11
72,1,10,245,527,150,203,24,57,68,32,48
73,1,8,151,386,67,107,15,55,54,47,37
74,1,7,112,297,38,146,14,38,31,19,15
75,1,8,153,348,78,132,18,56,42,32,30
76,1,8,138,298,66,99,12,53,28,25,22
77,1,10,191,522,102,206,24,75,48,33,37
78,1,10,160,420,76,169,19,88,46,26,25
79,1,10,128,381,61,117,14,57,58,34,21
80,1,8,167,408,89,137,19,47,43,28,35
81,1,8,120,363,58,148,14,59,39,30,31
82,1,8,118,281,77,101,14,44,34,24,15
83,1,7,66,208,34,73,9,32,13,22,13
84,1,6,57,202,17,76,9,22,17,13,7
85,1,10,208,543,102,204,26,67,64,57,39
86,1,8,195,419,102,154,20,68,52,36,45
87,1,10,164,414,65,140,21,50,51,25,40
88,1,9,139,441,59,159,14,54,46,41,24
89,1,6,83,232,44,75,3,37,28,32,7
90,1,7,75,229,42,77,8,39,25,28,15
91,1,8,86,232,41,92,10,28,24,19,11
92,1,11,224,651,105,235,23,94,72,48,46
93,1,11,250,537,144,207,22,105,75,57,40
94,1,8,96,313,44,136,11,46,34,28,16
95,1,10,159,462,72,169,20,47,55,36,30
96,1,7,89,230,50,91,10,39,29,27,14
97,1,8,125,294,62,116,15,50,40,30,16
98,1,11,166,411,79,166,17,63,51,28,27
99,1,8,121,347,57,136,17,47,37,30,23
100,1,7,67,235,33,68,11,31,25,19,25
101,1,10,184,466,83,189,22,72,50,37,27
102,1,8,129,330,53,122,16,43,46,37,15
103,1,9,140,392,67,143,12,50,42,34,26
104,1,10,146,401,81,157,13,52,43,30,24
105,1,9,170,537,63,216,24,90,42,41,29
106,1,11,150,361,92,125,20,51,39,28,24
107,1,10,255,631,136,254,33,99,77,52,42
108,1,8,111,366,48,136,13,41,45,19,21
109,1,8,103,348,43,140,16,40,33,30,22
110,1,6,77,236,36,95,9,38,21,17,22
111,1,11,237,549,123,189,21,71,66,38,45
112,1,9,149,409,75,147,18,59,41,26,20
113,1,8,131,328,53,143,14,51,27,25,18
114,1,8,171,407,81,165,21,61,50,28,22
115,1,9,158,508,49,173,19,62,45,39,34
116,1,4,24,53,11,20,2,8,5,2,4
117,1,8,124,319,50,134,17,31,28,15,28
118,1,12,218,433,96,143,22,70,52,32,39
119,1,10,168,485,60,172,20,71,52,43,31
120,1,8,123,374,62,140,15,45,38,17,25
121,1,8,123,368,29,136,12,62,22,28,27
122,1,9,216,533,99,196,25,85,62,57,32
123,1,10,148,411,76,144,21,58,44,34,21
124,1,7,83,273,41,88,9,36,41,23,15
125,1,5,60,176,27,45,1,20,14,13,11
126,1,8,94,280,45,93,8,33,31,22,16
127,1,9,153,402,73,150,21,62,43,27,24
128,1,9,150,406,82,156,20,64,35,31,22
129,1,10,120,416,51,160,21,50,38,32,13
130,1,10,260,587,152,211,30,88,63,60,52
131,1,10,174,420,79,160,21,59,52,33,32
132,1,11,201,425,111,157,18,63,53,24,38
133,1,10,171,507,73,207,25,74,59,39,50
134,1,10,143,400,80,152,15,57,52,31,28
135,1,7,93,261,43,103,10,34,24,11,14
136,1,9,181,543,70,198,24,77,50,43,19
137,1,7,89,243,31,109,7,50,37,29,14
138,1,10,174,401,75,180,16,61,59,33,23
139,1,7,63,180,29,56,8,31,25,16,5
140,1,9,150,360,75,144,17,37,28,20,31
141,1,10,207,575,101,201,25,73,61,28,33
142,1,10,170,381,95,127,19,66,51,32,24
143,1,7,94,303,39,115,12,46,28,18,18
144,1,9,141,441,72,154,20,66,50,40,24
145,1,10,178,361,114,132,17,57,40,25,26
146,1,6,66,185,15,67,3,25,26,13,12
147,1,12,254,595,133,244,26,101,69,56,45
148,1,9,114,306,55,102,14,42,38,21,19
149,1,8,150,436,68,165,18,67,65,33,36
150,1,8,104,303,45,112,15,54,32,32,15
151,1,8,82,245,32,97,7,29,24,25,9
152,1,6,95,172,33,84,9,18,26,14,18
153,1,9,175,489,66,173,21,69,59,42,24
154,1,12,176,423,99,164,20,69,45,32,28
155,1,10,167,437,88,149,18,63,45,44,34
156,1,8,115,333,48,125,18,48,40,26,26
157,1,9,183,448,92,155,18,72,58,44,44
158,1,9,159,352,92,132,19,49,49,27,25
159,1,10,186,462,102,175,19,67,54,34,33
160,1,8,112,272,36,112,15,42,34,18,17
161,1,10,162,417,73,151,20,64,40,37,27
162,1,12,217,534,117,197,21,100,62,52,23
163,1,8,106,232,59,75,9,30,25,19,17
164,1,8,115,245,60,100,8,32,30,15,25
165,1,9,163,371,76,131,18,65,33,29,31
166,1,10,220,537,95,231,24,77,64,43,52
167,1,8,104,331,40,125,13,38,45,23,25
168,1,9,185,448,82,177,10,52,54,31,43
169,1,6,79,150,45,60,5,17,20,13,10
170,1,8,113,335,44,120,17,35,36,35,23
