id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8
17834,7,15,30,90,22,30,2,13,11,5,3,1
17836,7,13,29,94,16,35,3,17,10,6,3,0
17837,7,15,53,154,19,48,3,30,11,14,10,5
17838,7,17,72,217,33,82,7,39,30,20,6,5
17839,7,13,53,151,34,60,7,15,16,8,9,5
17840,7,23,144,336,52,139,12,65,25,22,26,16
17841,7,16,51,170,15,55,7,23,10,11,11,2
17842,7,18,43,126,21,43,4,15,11,13,3,8
17843,7,12,101,359,54,119,19,61,26,24,22,6
17844,7,10,29,88,14,24,3,11,10,6,13,2
17845,7,16,45,176,24,50,5,12,13,9,8,3
17846,7,19,38,116,18,35,7,18,14,11,14,5
17847,7,17,54,187,22,61,8,24,25,21,11,3
17849,7,14,41,165,12,58,9,26,19,20,8,2
17850,7,12,52,165,25,58,4,25,17,17,14,6
17851,7,16,51,168,16,52,6,32,14,13,11,2
17852,7,17,68,226,31,66,11,43,22,22,11,9
17853,7,16,40,92,22,28,4,15,11,10,10,9
17854,7,21,56,182,20,44,8,22,11,6,8,5
17856,7,14,33,139,18,35,5,24,16,18,5,1
17857,7,18,48,153,27,45,7,17,18,14,8,7
17858,7,24,57,196,22,81,11,30,17,20,13,7
17859,7,17,51,185,23,67,8,32,18,25,10,7
17860,7,16,64,188,35,60,6,16,15,5,18,10
17861,7,16,34,140,18,42,5,16,13,9,4,1
17862,7,9,35,103,17,35,4,10,7,3,10,3
17863,7,6,14,51,8,24,2,10,4,4,4,3
17864,7,10,26,105,7,34,4,23,9,11,6,2
17865,7,17,113,269,23,75,10,40,16,15,16,4
17867,7,16,48,175,18,63,7,22,18,11,7,4
17868,7,15,102,331,49,108,11,50,28,17,15,7
17869,7,11,42,112,19,41,4,16,14,8,11,7
17870,7,19,54,128,21,41,4,18,7,11,13,5
17871,7,24,154,381,79,135,17,73,38,61,40,20
17872,7,18,42,157,21,59,7,22,18,14,4,4
17873,7,16,61,201,23,71,8,22,21,13,16,6
17874,7,20,49,169,16,48,8,21,26,9,7,2
17875,7,12,42,177,12,67,6,21,17,13,4,1
17876,7,19,77,222,35,77,10,35,19,16,14,15
17878,7,10,49,122,25,43,6,18,11,6,6,11
17879,7,7,12,44,3,8,2,10,1,2,3,0
17880,7,16,36,110,22,44,4,22,10,16,11,7
17881,7,12,51,185,22,69,8,18,21,20,16,3
17882,7,12,17,73,6,25,3,10,3,3,9,1
17883,7,20,73,216,19,59,9,33,27,14,18,3
17884,7,24,91,222,23,80,10,29,28,12,19,10
17885,7,9,30,132,18,42,3,22,13,10,11,4
17886,7,9,14,66,7,17,4,11,2,6,3,3
17887,7,20,76,250,32,74,10,31,17,13,13,7
17888,7,16,56,195,22,66,8,28,22,13,14,8
17889,7,8,20,130,9,35,7,20,10,13,3,1
17890,7,15,39,125,21,45,5,10,6,6,12,1
17891,7,20,20,64,5,16,2,6,4,4,4,0
17892,7,17,50,166,20,58,6,22,16,8,13,5
17893,7,18,24,91,8,21,5,12,3,5,10,3
17894,7,13,14,44,8,18,2,5,4,3,3,0
17896,7,12,108,306,30,97,10,72,26,20,21,10
17897,7,20,51,174,20,62,6,34,8,13,16,2
17898,7,16,67,194,25,71,10,14,25,9,6,6
17899,7,24,227,592,111,204,26,94,51,39,40,45
17900,7,16,43,157,16,56,6,22,16,11,10,2
17901,7,10,14,90,3,27,2,16,8,5,1,0
17902,7,17,55,237,22,79,11,29,21,20,11,4
17903,7,12,13,83,2,22,4,10,6,8,8,0
17904,7,17,39,112,14,36,3,22,14,10,2,2
17905,7,8,9,77,5,12,1,9,3,3,6,1
17906,7,22,68,164,18,41,7,33,10,8,16,7
17908,7,24,61,190,32,62,9,24,31,18,9,10
17909,7,21,53,200,30,54,10,22,22,13,4,9
17910,7,19,74,229,14,74,9,41,12,19,22,0
17911,7,19,52,179,18,60,6,35,13,14,10,5
17912,7,12,62,170,28,55,6,23,10,7,18,8
17913,7,16,27,112,13,30,4,16,9,7,8,0
17914,7,12,38,112,16,45,2,12,9,5,5,5
